2025-07-26 13:48:35.064 [main] INFO  [6e0c013c-d805-4336-9116-69f6dcefedda] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.092 [main] INFO  [c08ce0c2-af76-4d6c-b26a-452f6c86c494] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.092 [main] INFO  [c08ce0c2-af76-4d6c-b26a-452f6c86c494] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Age Check
2025-07-26 13:48:35.127 [main] INFO  [c08ce0c2-af76-4d6c-b26a-452f6c86c494] d.m.r.core.engine.config.RulesEngine - Rule 'Age Check' evaluated to false in 31.00ms
2025-07-26 13:48:35.128 [main] INFO  [c08ce0c2-af76-4d6c-b26a-452f6c86c494] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Email Required
2025-07-26 13:48:35.129 [main] INFO  [c08ce0c2-af76-4d6c-b26a-452f6c86c494] d.m.r.core.engine.config.RulesEngine - Rule 'Email Required' evaluated to false in 1.00ms
2025-07-26 13:48:35.134 [main] INFO  [cdd493c3-a06c-418f-846b-fb931c18ecd3] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.134 [main] INFO  [cdd493c3-a06c-418f-846b-fb931c18ecd3] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Minimum Balance
2025-07-26 13:48:35.134 [main] INFO  [cdd493c3-a06c-418f-846b-fb931c18ecd3] d.m.r.core.engine.config.RulesEngine - Rule 'Minimum Balance' evaluated to true in 0.00ms
2025-07-26 13:48:35.136 [main] INFO  [cdd493c3-a06c-418f-846b-fb931c18ecd3] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: KYC Required
2025-07-26 13:48:35.137 [main] INFO  [cdd493c3-a06c-418f-846b-fb931c18ecd3] d.m.r.core.engine.config.RulesEngine - Rule 'KYC Required' evaluated to true in 1.00ms
2025-07-26 13:48:35.137 [main] INFO  [cdd493c3-a06c-418f-846b-fb931c18ecd3] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Transaction Limit
2025-07-26 13:48:35.138 [main] INFO  [cdd493c3-a06c-418f-846b-fb931c18ecd3] d.m.r.core.engine.config.RulesEngine - Rule 'Transaction Limit' evaluated to true in 0.00ms
2025-07-26 13:48:35.140 [main] INFO  [1ed0ea36-30b4-48ad-9c01-7ee0364e9c19] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.141 [main] INFO  [1ed0ea36-30b4-48ad-9c01-7ee0364e9c19] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Credit Score Check
2025-07-26 13:48:35.141 [main] INFO  [1ed0ea36-30b4-48ad-9c01-7ee0364e9c19] d.m.r.core.engine.config.RulesEngine - Rule 'Credit Score Check' evaluated to true in 0.00ms
2025-07-26 13:48:35.142 [main] INFO  [1ed0ea36-30b4-48ad-9c01-7ee0364e9c19] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Minimum Age
2025-07-26 13:48:35.142 [main] INFO  [1ed0ea36-30b4-48ad-9c01-7ee0364e9c19] d.m.r.core.engine.config.RulesEngine - Rule 'Minimum Age' evaluated to true in 0.00ms
2025-07-26 13:48:35.142 [main] INFO  [1ed0ea36-30b4-48ad-9c01-7ee0364e9c19] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Minimum Income
2025-07-26 13:48:35.143 [main] INFO  [1ed0ea36-30b4-48ad-9c01-7ee0364e9c19] d.m.r.core.engine.config.RulesEngine - Rule 'Minimum Income' evaluated to true in 0.00ms
2025-07-26 13:48:35.146 [main] INFO  [4e050fa0-2e2f-4c9d-a8c3-1c394bda64cf] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.146 [main] INFO  [4e050fa0-2e2f-4c9d-a8c3-1c394bda64cf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: lastName Required
2025-07-26 13:48:35.146 [main] INFO  [4e050fa0-2e2f-4c9d-a8c3-1c394bda64cf] d.m.r.core.engine.config.RulesEngine - Rule 'lastName Required' evaluated to true in 0.00ms
2025-07-26 13:48:35.147 [main] INFO  [4e050fa0-2e2f-4c9d-a8c3-1c394bda64cf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: firstName Required
2025-07-26 13:48:35.147 [main] INFO  [4e050fa0-2e2f-4c9d-a8c3-1c394bda64cf] d.m.r.core.engine.config.RulesEngine - Rule 'firstName Required' evaluated to true in 0.00ms
2025-07-26 13:48:35.148 [main] INFO  [4e050fa0-2e2f-4c9d-a8c3-1c394bda64cf] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: lastName Required
2025-07-26 13:48:35.148 [main] WARN  [4e050fa0-2e2f-4c9d-a8c3-1c394bda64cf] d.m.r.core.engine.config.RulesEngine - Missing parameters for rule 'lastName Required': [lastName]
2025-07-26 13:48:35.150 [main] INFO  [bc6eaea9-f472-43b6-ae77-0961f549104a] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.150 [main] INFO  [bc6eaea9-f472-43b6-ae77-0961f549104a] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Age Check
2025-07-26 13:48:35.151 [main] INFO  [bc6eaea9-f472-43b6-ae77-0961f549104a] d.m.r.core.engine.config.RulesEngine - Rule 'Age Check' evaluated to true in 1.00ms
2025-07-26 13:48:35.152 [main] INFO  [bc6eaea9-f472-43b6-ae77-0961f549104a] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Email Required
2025-07-26 13:48:35.169 [main] INFO  [bc6eaea9-f472-43b6-ae77-0961f549104a] d.m.r.core.engine.config.RulesEngine - Rule 'Email Required' evaluated to true in 17.00ms
2025-07-26 13:48:35.170 [main] INFO  [bc6eaea9-f472-43b6-ae77-0961f549104a] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Phone Required
2025-07-26 13:48:35.171 [main] INFO  [bc6eaea9-f472-43b6-ae77-0961f549104a] d.m.r.core.engine.config.RulesEngine - Rule 'Phone Required' evaluated to true in 0.00ms
2025-07-26 13:48:35.176 [main] INFO  [76d7c95a-bc82-46c5-8fc6-90ff55230bea] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-26 13:48:35.177 [main] INFO  [76d7c95a-bc82-46c5-8fc6-90ff55230bea] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Premium Eligibility
