2025-07-27 21:54:49.242 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.244 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Positive Check
2025-07-27 21:54:49.295 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Rule 'Positive Check' evaluated to true in 47.00ms
2025-07-27 21:54:49.299 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Range Check
2025-07-27 21:54:49.299 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Rule 'Range Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.299 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Positive Check
2025-07-27 21:54:49.299 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Rule 'Positive Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.299 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Range Check
2025-07-27 21:54:49.300 [main] INFO  [7b2bb83f-5a13-4d8e-9a47-4544df693e3c] d.m.r.core.engine.config.RulesEngine - Rule 'Range Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.316 [main] INFO  [607d41bc-7640-472f-b5e1-b2a42cf657c6] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.326 [main] INFO  [40bc674c-8d15-4446-8da1-2869a368790c] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.327 [main] INFO  [40bc674c-8d15-4446-8da1-2869a368790c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.328 [main] INFO  [40bc674c-8d15-4446-8da1-2869a368790c] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.328 [main] INFO  [40bc674c-8d15-4446-8da1-2869a368790c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.329 [main] INFO  [40bc674c-8d15-4446-8da1-2869a368790c] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.330 [main] INFO  [d43cc474-1f99-499d-82b4-849a25d55564] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.332 [main] INFO  [71b531f7-07fb-4583-bd7b-913f455ae3fd] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.334 [main] INFO  [95206f9f-ad0f-4a32-b3e8-c320b0a0e610] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.335 [main] INFO  [ea1ff8a7-93b5-45c2-845e-dcb6957bb8b5] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.336 [main] INFO  [a83f7e37-08be-40ad-8b4b-5b1528dcfea6] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.336 [main] INFO  [a83f7e37-08be-40ad-8b4b-5b1528dcfea6] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.359 [main] INFO  [a83f7e37-08be-40ad-8b4b-5b1528dcfea6] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 22.00ms
2025-07-27 21:54:49.360 [main] INFO  [a83f7e37-08be-40ad-8b4b-5b1528dcfea6] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.360 [main] INFO  [a83f7e37-08be-40ad-8b4b-5b1528dcfea6] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.361 [main] INFO  [a83f7e37-08be-40ad-8b4b-5b1528dcfea6] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.361 [main] INFO  [a83f7e37-08be-40ad-8b4b-5b1528dcfea6] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to false in 0.00ms
2025-07-27 21:54:49.362 [main] INFO  [52073b59-4886-4b46-891f-654a57f32d65] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.362 [main] INFO  [52073b59-4886-4b46-891f-654a57f32d65] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: adult
2025-07-27 21:54:49.363 [main] INFO  [52073b59-4886-4b46-891f-654a57f32d65] d.m.r.core.engine.config.RulesEngine - Rule 'adult' evaluated to true in 0.00ms
2025-07-27 21:54:49.363 [main] INFO  [52073b59-4886-4b46-891f-654a57f32d65] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: senior
2025-07-27 21:54:49.363 [main] INFO  [52073b59-4886-4b46-891f-654a57f32d65] d.m.r.core.engine.config.RulesEngine - Rule 'senior' evaluated to false in 0.00ms
2025-07-27 21:54:49.364 [main] INFO  [7678c783-fd9e-424c-a225-6d91c2b20e78] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.365 [main] INFO  [a8f686cb-d51c-47c2-9629-88a50e5b4231] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.367 [main] INFO  [a8f686cb-d51c-47c2-9629-88a50e5b4231] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.367 [main] INFO  [a8f686cb-d51c-47c2-9629-88a50e5b4231] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.367 [main] INFO  [a8f686cb-d51c-47c2-9629-88a50e5b4231] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.367 [main] INFO  [a8f686cb-d51c-47c2-9629-88a50e5b4231] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.368 [main] INFO  [a8f686cb-d51c-47c2-9629-88a50e5b4231] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.368 [main] INFO  [a8f686cb-d51c-47c2-9629-88a50e5b4231] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.369 [main] INFO  [efbb12a4-4bdb-47d4-b878-0c93bcefb102] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.369 [main] INFO  [3a0e51a2-d288-44be-a60e-fb212531a95c] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 21:54:49.370 [main] INFO  [3a0e51a2-d288-44be-a60e-fb212531a95c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.370 [main] INFO  [3a0e51a2-d288-44be-a60e-fb212531a95c] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 21:54:49.370 [main] INFO  [3a0e51a2-d288-44be-a60e-fb212531a95c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.375 [main] INFO  [3a0e51a2-d288-44be-a60e-fb212531a95c] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 5.00ms
2025-07-27 21:54:49.375 [main] INFO  [3a0e51a2-d288-44be-a60e-fb212531a95c] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 21:54:49.376 [main] INFO  [3a0e51a2-d288-44be-a60e-fb212531a95c] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
