2025-07-27 22:29:19.137 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 22:29:19.141 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.186 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 41.00ms
2025-07-27 22:29:19.188 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.199 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 11.00ms
2025-07-27 22:29:19.200 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.201 [main] INFO  [8ea70baf-3d6a-4e14-864e-068c4294731b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.203 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-07-27 22:29:19.203 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.204 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.204 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.204 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.205 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.205 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.205 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.206 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.206 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.206 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.207 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.207 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.207 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.207 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.207 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.207 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.208 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.208 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.208 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.208 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.208 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.209 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 1.00ms
2025-07-27 22:29:19.209 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.209 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.209 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.209 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-07-27 22:29:19.209 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.210 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 1.00ms
2025-07-27 22:29:19.210 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-07-27 22:29:19.210 [main] INFO  [e0dd759f-b470-4277-bca4-530c52660a77] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
