2025-06-27 00:17:35.875 [main] INFO  [2e82fa06-465c-4036-849d-e215258c0168] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-27 00:17:35.889 [main] INFO  [2e82fa06-465c-4036-849d-e215258c0168] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.946 [main] INFO  [2e82fa06-465c-4036-849d-e215258c0168] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 53.00ms
2025-06-27 00:17:35.950 [main] INFO  [2e82fa06-465c-4036-849d-e215258c0168] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.974 [main] INFO  [2e82fa06-465c-4036-849d-e215258c0168] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 24.00ms
2025-06-27 00:17:35.975 [main] INFO  [2e82fa06-465c-4036-849d-e215258c0168] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.975 [main] INFO  [2e82fa06-465c-4036-849d-e215258c0168] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-06-27 00:17:35.982 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Configuration [RulesEngine]: Initialized with configuration: RulesEngineConfiguration
2025-06-27 00:17:35.983 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.983 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-06-27 00:17:35.984 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.984 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-06-27 00:17:35.985 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.986 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-06-27 00:17:35.986 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.987 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-06-27 00:17:35.987 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.987 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-06-27 00:17:35.987 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.987 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
2025-06-27 00:17:35.987 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Starting evaluation of rule: Check
2025-06-27 00:17:35.988 [main] INFO  [b4a6d3cf-32a5-4ba5-bf1a-3dd0711bc43b] d.m.r.core.engine.config.RulesEngine - Rule 'Check' evaluated to true in 0.00ms
